State,District,Subdistt,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Main_Worker_Pct,Marginal_Worker_Pct,Non_Worker_Pct,Agri_Worker_Pct
01,001,00000,DISTRICT,Kupwara,Total,113929,870354,474190,396164,188798,100459,88339,1048,1046,2,70352,36913,33439,439654,282823,156831,430700,191367,239333,229064,190899,38165,123837,111713,12124,14585,12171,2414,9834,8804,1030,2571,1842,729,96847,88896,7951,105227,79186,26041,20095,13733,6362,46925,41745,5180,5375,2621,2754,32832,21087,11745,641290,283291,357999,835.4541428541302,21.69209310234686,0.12041077538564769,8.0831477766518,64.50739190910213,75.67555273712911,50.948103630309426,24.727449106819684,26.318486500895037,9.63363657475187,54.062183494569204,45.937816505430796,73.68151349910497,10.6603394684455
01,002,00000,DISTRICT,Badgam,Total,103363,753745,398041,355704,155202,84720,70482,368,343,25,23912,12383,11529,335649,207741,127908,418096,190300,227796,214866,162578,52288,132003,116865,15138,34173,31582,2591,11560,10877,683,14401,10652,3749,71869,63754,8115,82863,45713,37150,21126,9351,11775,25070,17395,7675,14701,5928,8773,21966,13039,8927,538879,235463,303416,893.636585175899,20.59078335511347,0.04882287776369992,3.1724256877325887,56.077675288158076,66.30292894507551,44.845068052254035,21.457860892821472,28.506457754280294,14.699862807277961,61.43503392812264,38.56496607187736,71.49354224571971,21.284428434466133
01,003,00000,DISTRICT,Leh(Ladakh),Total,21909,133487,78971,54516,12016,6174,5842,488,444,44,95857,47543,48314,93770,62834,30936,39717,16137,23580,75079,53265,21814,57125,44742,12383,11175,6303,4872,593,304,289,502,188,314,44855,37947,6908,17954,8523,9431,9694,3490,6204,1052,454,598,518,107,411,6690,4472,2218,58408,25706,32702,690.329361411151,9.001625626465499,0.3655786705821541,71.80998898769168,77.19537996723498,86.31399645589791,63.55754612318692,22.75645033271099,56.24442829638841,40.01394086139849,76.08652219661957,23.913477803380438,43.75557170361159,15.674156555095301
01,004,00000,DISTRICT,Kargil,Total,18338,140802,77785,63017,19928,10078,9850,18,12,6,122336,62652,59684,86236,56301,29935,54566,21484,33082,51873,39839,12034,28941,25174,3767,1834,1102,732,524,279,245,272,207,65,26311,23586,2725,22932,14665,8267,6432,3164,3268,3239,1566,1673,950,274,676,12311,9661,2650,88929,37946,50983,810.1433438323584,14.153208051022004,0.012783909319469893,86.88512947259271,71.34371328821749,83.15388364570872,56.3037222337164,26.850161411992318,36.84109600715899,19.09643429550756,55.79203053611705,44.20796946388295,63.15890399284101,4.54571742525013
01,005,00000,DISTRICT,Punch,Total,90261,476835,251899,224936,84674,44733,39941,556,406,150,176101,90274,85827,261724,163333,98391,215111,88566,126545,161393,117677,43716,73247,63147,10100,17902,15566,2336,5917,4958,959,1187,819,368,48241,41804,6437,88146,54530,33616,36362,22076,14286,25666,19737,5929,2743,904,1839,23375,11813,11562,315442,134222,181220,892.9610677295266,17.75750521668921,0.1166021789507901,36.93122358887246,66.7389159044372,78.84160528272014,53.185761777345334,25.655843505374804,33.84671846655552,19.434861471707507,45.38424838747653,54.61575161252347,66.15328153344448,14.758384812228536
01,006,00000,DISTRICT,Rajouri,Total,130401,642415,345351,297064,108271,58051,50220,48157,25170,22987,232815,121374,111441,364109,224469,139640,278306,120882,157424,290912,184752,106160,130377,110114,20263,43100,34752,8348,6148,5205,943,1655,1108,547,79474,69049,10425,160535,74638,85897,93427,47002,46425,17868,11153,6715,3001,796,2205,46239,15687,30552,351503,160599,190904,860.1799328798816,16.853747188343984,7.496244639368632,36.24059214059447,68.16682392763,78.13052558301426,56.57014146586508,21.560384117149184,45.28412319139497,35.73640696954192,44.816645583544165,55.183354416455835,54.715876808605024,16.928830711692882
01,007,00000,DISTRICT,Kathua,Total,119583,616435,326109,290326,83936,45833,38103,141224,74644,66580,53307,27693,25614,389204,228499,160705,227231,97610,129621,200431,161548,38883,142847,123404,19443,46391,39107,7284,10152,8985,1167,2226,1676,550,84078,73636,10442,57584,38144,19440,23142,12494,10648,11414,8613,2801,1726,837,889,21302,16200,5102,416004,164561,251443,890.2728842196934,13.616358577952258,22.909795842221808,8.647627081525222,73.09009031002876,81.52642395353152,63.71544228718238,17.810981666349143,32.51453924582478,13.39287559502077,71.26991333675929,28.730086663240716,67.48546075417522,28.210705928723602
01,008,00000,DISTRICT,Baramula,Total,152635,1008039,534733,473306,164581,88321,76260,1476,1451,25,37705,20237,17468,545149,337170,207979,462890,197563,265327,304200,249581,54619,187959,169496,18463,31114,28357,2757,19159,18143,1016,7650,5545,2105,130036,117451,12585,116241,80085,36156,26381,14785,11596,43087,35173,7914,7434,3550,3884,39339,26577,12762,703839,285152,418687,885.1258478530407,16.326848465188352,0.14642290625660317,3.740430677781316,64.63261952580923,75.52888363216043,52.3815880275837,23.147295604576726,30.17740385044626,11.539891740227253,61.7879684418146,38.21203155818541,69.82259614955375,16.52629848783695
01,009,00000,DISTRICT,Bandipore,Total,58392,392232,207680,184552,61754,32641,29113,392,375,17,75374,39398,35976,185979,117058,68921,206253,90622,115631,149317,101380,47937,75173,64904,10269,10778,9878,900,9423,7881,1542,9526,6916,2610,45446,40229,5217,74144,36476,37668,17454,6877,10577,23459,13764,9695,10958,4384,6574,22273,11451,10822,242915,106300,136615,888.6363636363636,15.744253401048358,0.09994085133288462,19.21668808256338,56.27575814426377,66.87538205771286,44.33958015684609,22.535801900866765,38.068541067531456,25.974793012267543,50.34456893722751,49.65543106277249,61.931458932468544,13.528935084417714
01,010,00000,DISTRICT,Srinagar,Total,191678,1236829,651124,585705,158300,84897,73403,1068,995,73,8935,5021,3914,748584,431746,316838,488245,219378,268867,407188,333151,74037,330547,289800,40747,6602,5616,986,6513,6013,500,12577,9994,2583,304855,268177,36678,76641,43351,33290,5626,2803,2823,3895,2854,1041,7518,2092,5426,59602,35602,24000,829641,317973,511668,899.5291219491219,12.798859017697678,0.08634985111118837,0.7224119098112997,69.40786942214812,76.24963133160375,61.8459424323934,14.403688899210351,32.92193181110727,12.64066381540195,81.17798166940086,18.822018330599132,67.07806818889273,3.2208709490456497
