State,District,Name,Cluster,Cluster_Label,PC1,PC2,Anomaly_Flag,Anomaly_Score,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Agri_Worker_Pct,Main_Worker_Pct
01,001,Kupwara,2,Cluster 2,-1.9169,-3.4899,-1,-0.0195,835.4541428541302,21.69209310234686,0.1204107753856476,8.0831477766518,64.50739190910213,50.94810363030943,24.727449106819684,26.31848650089504,9.63363657475187,10.6603394684455,54.0621834945692
01,002,Badgam,2,Cluster 2,-2.2221,-2.7226,1,0.033,893.636585175899,20.59078335511347,0.0488228777636999,3.1724256877325887,56.07767528815808,44.84506805225404,21.457860892821472,28.50645775428029,14.69986280727796,21.284428434466133,61.43503392812264
01,003,Leh(Ladakh),0,Cluster 0,-0.0981,1.6159,-1,-0.0182,690.329361411151,9.001625626465499,0.3655786705821541,71.80998898769168,77.19537996723498,63.55754612318692,22.75645033271099,56.24442829638841,40.01394086139849,15.6741565550953,76.08652219661957
01,004,Kargil,2,Cluster 2,-1.2117,-0.7888,-1,-0.0223,810.1433438323584,14.153208051022004,0.0127839093194698,86.88512947259271,71.34371328821749,56.3037222337164,26.85016141199232,36.84109600715899,19.09643429550756,4.54571742525013,55.79203053611705
01,005,Punch,2,Cluster 2,-1.9764,-1.5893,1,0.0384,892.9610677295266,17.75750521668921,0.1166021789507901,36.93122358887246,66.7389159044372,53.18576177734533,25.655843505374804,33.84671846655552,19.434861471707507,14.758384812228536,45.38424838747653
01,006,Rajouri,2,Cluster 2,-1.9197,-0.1862,1,0.0667,860.1799328798816,16.853747188343984,7.496244639368632,36.24059214059447,68.16682392763,56.57014146586508,21.560384117149184,45.28412319139497,35.73640696954192,16.928830711692882,44.816645583544165
01,007,Kathua,2,Cluster 2,0.5831,-2.0848,1,0.1269,890.2728842196934,13.616358577952258,22.909795842221808,8.647627081525222,73.09009031002876,63.71544228718238,17.810981666349143,32.51453924582478,13.39287559502077,28.2107059287236,71.26991333675929
01,008,Baramula,2,Cluster 2,-0.9898,-2.4665,1,0.0674,885.1258478530407,16.326848465188352,0.1464229062566031,3.740430677781316,64.63261952580923,52.3815880275837,23.14729560457673,30.17740385044626,11.539891740227253,16.52629848783695,61.7879684418146
01,009,Bandipore,2,Cluster 2,-2.262,-1.2648,1,0.0589,888.6363636363636,15.744253401048358,0.0999408513328846,19.21668808256338,56.27575814426377,44.33958015684609,22.535801900866765,38.068541067531456,25.974793012267543,13.528935084417714,50.34456893722751
01,010,Srinagar,1,Cluster 1,1.2317,-1.5977,1,0.0718,899.5291219491219,12.798859017697678,0.0863498511111883,0.7224119098112997,69.40786942214812,61.8459424323934,14.403688899210351,32.92193181110727,12.64066381540195,3.2208709490456497,81.17798166940086
01,011,Ganderbal,2,Cluster 2,-2.0788,-1.9514,1,0.0455,874.0297379032259,17.009473988555907,0.039334870867317,20.53145781082953,58.04125548911898,45.70608286856736,23.144868401185832,33.91876172481727,19.88452056571948,10.671027852116168,52.48191099216969
01,012,Pulwama,2,Cluster 2,-1.5306,-1.9458,1,0.0775,912.3467911445964,17.374562843480124,0.0717293555063878,4.033794875455,63.48079971321583,51.79809708111595,22.55707116305701,33.62001284704875,18.69726527437017,13.697059760110392,52.17386689311113
01,013,Shupiyan,2,Cluster 2,-1.3618,-1.2384,1,0.0987,950.5788393903867,15.60655860864339,0.0161523580564581,8.196382623067821,60.75631598625528,50.89793217235221,19.36763503267757,32.95118607140845,18.337380043935717,37.55543142463036,62.36021021192188
01,014,Anantnag,2,Cluster 2,-2.1041,-1.2868,1,0.0476,927.0374995310548,19.33248786493272,0.1692790898606831,10.754320973920263,62.69373007536597,52.19099996459467,20.468572835631093,36.12560397221821,28.068025244495832,14.456328717627615,45.37009474343314
01,015,Kulgam,2,Cluster 2,-2.1284,-0.9695,1,0.0783,950.5698005698006,16.84425524697102,0.0049471945872979,6.24877792514659,59.23389861239383,48.49242026417991,21.10038071082719,37.69055533437146,27.879804508297763,22.25201575098444,48.635539721232576
01,016,Doda,2,Cluster 2,-2.1436,-1.7969,1,0.0914,918.8077194920452,17.378322469848953,13.02837516100074,9.566371336013429,64.68425963105557,49.69397901393924,28.720312276315823,37.057491901174814,25.86311419037673,18.423166043498867,52.25196166201484
01,017,Ramban,2,Cluster 2,-3.1832,-2.7534,1,0.0186,902.4287208647372,19.41821488617018,4.906366645166066,14.01839182554201,54.26666841628722,38.040401798102,30.78381588219872,30.739514932343603,13.921727435522104,28.841214511764434,59.68330046323901
01,018,Kishtwar,2,Cluster 2,-2.7476,-1.6141,1,0.0757,919.8269046727416,17.077019107396747,6.201667995977391,16.53648090994209,56.19759539989545,42.35815486716004,26.558242620952623,35.96681346880744,23.699233699143228,27.470050859305324,53.89399088871213
01,019,Udhampur,2,Cluster 2,-0.9709,-1.0328,1,0.1132,869.9963609898108,15.195365640512806,24.96806219987928,10.146039983062604,68.49079895379398,57.10292260673828,21.261968043489222,43.90605151490581,30.916611477105043,25.257313109425784,62.56032699694671
01,020,Reasi,2,Cluster 2,-2.6997,-0.0831,1,0.1068,890.3346729864653,17.732714266192513,11.999033899328497,28.082067709674035,58.15396263732868,46.593846204500935,21.78265144439048,46.00641312879965,37.79334170006612,34.570723990964794,61.1064676341984
01,021,Jammu,1,Cluster 1,2.7667,-1.7685,1,0.1072,879.9686909037737,10.939058457813877,24.705972320808804,4.522542448877682,83.45363075602069,77.13499352041072,11.948368609210036,33.24418055920489,12.730245749067567,12.614279366602313,80.67759554246572
01,022,Samba,1,Cluster 1,2.3311,-2.575,1,0.0742,885.5869066483764,12.125820795364035,28.79760926691293,5.510539420128066,81.41163120162439,73.64161936736875,14.77323404575452,29.01429297142033,7.0599703553353725,16.61587013380023,80.1169401033223
02,023,Chamba,3,Cluster 3,-1.4701,1.6494,1,0.0188,986.3768559620388,13.55455806426755,21.516914541111195,26.103876088464204,72.17001210106056,61.66633098355153,20.920133045991832,56.64541111196733,52.46896337678461,18.572278810345708,40.68631285391195
02,024,Kangra,1,Cluster 1,1.623,0.5821,1,0.0619,1011.8479971116094,10.900584408059204,21.15027399301359,5.5999867556247205,85.66833250586413,80.01503036837588,11.475201207395417,44.71102428687317,35.73663171311048,11.929736214582991,46.49421627145756
02,025,Lahul & Spiti,0,Cluster 0,-0.5759,4.1353,1,0.0031,902.82131661442,9.90051957926752,7.080851603092131,81.44405018375365,76.81353071486339,66.83597251269794,18.852686048195025,61.129768090229376,56.97115384615385,47.36978491837264,78.72505830526043
02,026,Kullu,3,Cluster 3,-0.0216,2.5379,1,0.0378,942.3336231215512,11.51647739339534,28.01054114724037,3.841490010344757,79.40496345542387,70.91254854123275,16.47386914131249,61.44831161238905,56.60364036883799,51.907582762260105,72.0503634552779
02,027,Mandi,3,Cluster 3,0.2534,1.9524,1,0.0015,1007.3223374459157,11.209899807657107,29.38045184076049,1.2789852137026558,81.5303091236596,73.65773759048835,15.89817841095848,57.27987341177082,54.8535813375004,26.74327842688036,49.619065746301104
02,028,Hamirpur,3,Cluster 3,1.4675,2.3803,-1,-0.0065,1095.0292532362832,10.675333356788515,24.02455757661049,0.6693522851212047,88.15198660824184,82.62407386723258,11.73541773968256,53.1987738803082,51.8334188760528,23.746026759695944,52.14420640595873
02,029,Una,1,Cluster 1,2.1448,0.0186,1,0.1108,976.4460051878708,11.36494024057271,22.1598202516247,1.650315730093462,86.52926124924775,81.11433556241053,10.77712548256558,41.31948508460722,28.636676104256235,19.845736628495537,62.44926769013588
02,030,Bilaspur,3,Cluster 3,0.9634,1.5924,1,0.0432,981.469569006661,10.984511304967064,25.916335913037106,2.799537119458786,84.59411764705882,77.97129695251594,13.192869909447964,53.89914021510332,49.858344961732,20.268031922903177,50.22854117384187
02,031,Solan,3,Cluster 3,1.4217,0.7253,1,0.0903,879.5545968635224,11.741280672732286,28.352633030052388,4.419113592500689,83.67673273029366,76.97283473944165,12.5833641831222,51.4779776674938,40.04035851321594,28.730957330360816,73.38729384040143
02,032,Sirmaur,3,Cluster 3,0.3317,0.9735,1,0.096,917.7564072402448,13.139443810098989,30.33754517745421,2.125487161581942,78.79561528349647,71.35917256297346,14.24965740763217,52.86031083975805,43.65096266849656,43.53887954642017,69.23162062674278
02,033,Shimla,3,Cluster 3,1.3828,1.4233,1,0.0837,915.1419046252228,10.020024324025504,26.5079053082886,1.0755396125354726,83.6432993012454,77.13239351254921,12.462367412860344,52.93866168720286,44.29584724825244,40.37746620069339,72.34884875825549
02,034,Kinnaur,3,Cluster 3,-0.0209,3.8034,-1,-0.0108,818.8717593893922,9.802546332069282,17.53426611666528,57.94748041511632,79.99868204283361,70.95725181812807,16.314740381448615,66.89530557173595,59.17300380228136,49.13368755886482,83.13400742807386
03,035,Gurdaspur,1,Cluster 1,2.5406,-1.6855,1,0.1198,895.3412330521509,11.033218568495377,25.2608532395142,0.0,79.94736749441495,74.84743480463007,9.715375670179782,32.94306326830476,11.005373462060632,27.381798298328707,82.65045473876624
03,036,Kapurthala,1,Cluster 1,2.7047,-1.5492,1,0.0964,912.1439512468596,10.55303937347884,33.94478193452147,0.0,79.0746122502719,74.62995083212684,8.52082558253592,34.859685365470675,12.498939198728582,30.240529269966395,87.3464360494783
03,037,Jalandhar,1,Cluster 1,3.3471,-1.6719,1,0.0665,915.4461492249028,10.316513113207115,38.95185517804148,0.0,82.47582458694406,78.48352331364411,7.666401867254123,35.30614198642408,12.875877902933958,17.278093978865602,89.04027518102656
03,038,Hoshiarpur,1,Cluster 1,3.208,-1.636,1,0.0764,961.0793800684006,10.609375246198692,35.13772945718112,0.0,84.5874691707079,80.30855576061768,8.443171131033012,31.5022138186402,11.229371579077329,26.424207017698297,82.23147440488813
03,039,Shahid Bhagat Singh Nagar,1,Cluster 1,2.6688,-1.8986,1,0.0709,954.4449090462224,10.243014159494374,42.50853325929676,0.0,79.77914485499217,73.93184903812624,11.476685565624294,33.370188303310414,11.396265789130457,27.82032897924426,84.91550391770136
